nouadhibou,"{'coord': {'lon': -17.03, 'lat': 20.93}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 57.2, 'pressure': 1015, 'humidity': 82, 'temp_min': 57.2, 'temp_max': 57.2}, 'visibility': 10000, 'wind': {'speed': 12.75, 'deg': 20}, 'clouds': {'all': 0}, 'dt': 1548385200, 'sys': {'type': 1, 'id': 2444, 'message': 0.0041, 'country': 'MR', 'sunrise': 1548402407, 'sunset': 1548442455}, 'id': 2377457, 'name': 'Nouadhibou', 'cod': 200}"
port hedland,"{'coord': {'lon': 118.58, 'lat': -20.31}, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}], 'base': 'stations', 'main': {'temp': 95, 'pressure': 1001, 'humidity': 53, 'temp_min': 95, 'temp_max': 95}, 'visibility': 10000, 'wind': {'speed': 24.16, 'deg': 90}, 'clouds': {'all': 40}, 'dt': 1548385200, 'sys': {'type': 1, 'id': 9585, 'message': 0.0036, 'country': 'AU', 'sunrise': 1548366278, 'sunset': 1548413456}, 'id': 2063042, 'name': 'Port Hedland', 'cod': 200}"
flinders,"{'coord': {'lon': 150.85, 'lat': -34.58}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}], 'base': 'stations', 'main': {'temp': 91.4, 'pressure': 1009, 'humidity': 52, 'temp_min': 91.4, 'temp_max': 91.4}, 'visibility': 10000, 'wind': {'speed': 8.05, 'deg': 70}, 'clouds': {'all': 0}, 'dt': 1548385200, 'sys': {'type': 1, 'id': 9594, 'message': 0.003, 'country': 'AU', 'sunrise': 1548356944, 'sunset': 1548407283}, 'id': 6255012, 'name': 'Flinders', 'cod': 200}"
bam,"{'coord': {'lon': 58.36, 'lat': 29.11}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}], 'base': 'stations', 'main': {'temp': 23.69, 'pressure': 889.06, 'humidity': 59, 'temp_min': 23.69, 'temp_max': 23.69, 'sea_level': 1033.65, 'grnd_level': 889.06}, 'wind': {'speed': 2.62, 'deg': 252.001}, 'clouds': {'all': 0}, 'dt': 1548387388, 'sys': {'message': 0.0029, 'country': 'IR', 'sunrise': 1548385135, 'sunset': 1548423539}, 'id': 141736, 'name': 'Bam', 'cod': 200}"
cape town,"{'coord': {'lon': 18.42, 'lat': -33.93}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 62.6, 'pressure': 1015, 'humidity': 63, 'temp_min': 62.6, 'temp_max': 62.6}, 'visibility': 10000, 'wind': {'speed': 20.8, 'deg': 160}, 'clouds': {'all': 0}, 'dt': 1548385200, 'sys': {'type': 1, 'id': 1899, 'message': 0.0033, 'country': 'ZA', 'sunrise': 1548388833, 'sunset': 1548438971}, 'id': 3369157, 'name': 'Cape Town', 'cod': 200}"
port alfred,"{'coord': {'lon': 26.89, 'lat': -33.59}, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}], 'base': 'stations', 'main': {'temp': 65.59, 'pressure': 1021.35, 'humidity': 100, 'temp_min': 65.59, 'temp_max': 65.59, 'sea_level': 1030.32, 'grnd_level': 1021.35}, 'wind': {'speed': 4.07, 'deg': 92.5012}, 'rain': {'3h': 0.17}, 'clouds': {'all': 88}, 'dt': 1548387389, 'sys': {'message': 0.0036, 'country': 'ZA', 'sunrise': 1548386842, 'sunset': 1548436897}, 'id': 964432, 'name': 'Port Alfred', 'cod': 200}"
chokurdakh,"{'coord': {'lon': 147.9, 'lat': 70.62}, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}], 'base': 'stations', 'main': {'temp': -32.34, 'pressure': 1037.31, 'humidity': 57, 'temp_min': -32.34, 'temp_max': -32.34, 'sea_level': 1039.69, 'grnd_level': 1037.31}, 'wind': {'speed': 7.54, 'deg': 233.501}, 'clouds': {'all': 20}, 'dt': 1548387389, 'sys': {'message': 0.0036, 'country': 'RU', 'sunrise': 1548377836, 'sunset': 1548387896}, 'id': 2126123, 'name': 'Chokurdakh', 'cod': 200}"
kodiak,"{'coord': {'lon': -94.76, 'lat': 39.95}, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}], 'base': 'stations', 'main': {'temp': 6.67, 'pressure': 1029, 'humidity': 69, 'temp_min': 5, 'temp_max': 8.06}, 'visibility': 16093, 'wind': {'speed': 6.93, 'deg': 320}, 'clouds': {'all': 1}, 'dt': 1548384900, 'sys': {'type': 1, 'id': 5924, 'message': 0.0034, 'country': 'US', 'sunrise': 1548423196, 'sunset': 1548458995}, 'id': 4407665, 'name': 'Kodiak', 'cod': 200}"
alofi,"{'coord': {'lon': -169.92, 'lat': -19.06}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}], 'base': 'stations', 'main': {'temp': 82.4, 'pressure': 1007, 'humidity': 69, 'temp_min': 82.4, 'temp_max': 82.4}, 'visibility': 10000, 'wind': {'speed': 11.41, 'deg': 180}, 'clouds': {'all': 75}, 'dt': 1548385200, 'sys': {'type': 1, 'id': 7306, 'message': 0.0035, 'country': 'NU', 'sunrise': 1548435668, 'sunset': 1548482569}, 'id': 4036284, 'name': 'Alofi', 'cod': 200}"
longyearbyen,"{'coord': {'lon': 15.63, 'lat': 78.22}, 'weather': [{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}], 'base': 'stations', 'main': {'temp': 15.8, 'pressure': 1025, 'humidity': 78, 'temp_min': 15.8, 'temp_max': 15.8}, 'visibility': 10000, 'wind': {'speed': 3.36}, 'clouds': {'all': 75}, 'dt': 1548384600, 'sys': {'type': 1, 'id': 1663, 'message': 0.0053, 'country': 'NO', 'sunrise': 0, 'sunset': 0}, 'id': 2729907, 'name': 'Longyearbyen', 'cod': 200}"
